SEASON_YEAR,POSTAL_CODE,PRODUCT_TYPE,TOTAL_SEATS,TOTAL_ACCOUNTS
2025,60124,Full Season,720,7
2025,60462,Full Season,720,5
2025,60626,Full Season,720,5
2025,60608,Full Season,720,8
2025,60118,Full Season,720,5
2026,60613,Single Game,718,241
2026,60060,Full Season,704,5
2026,60101,Full Season,701,4
2026,60647,Half Season,701,14
2026,60636,Full Season,697,5
2027,60462,Full Season,697,4
2026,60614,Distribution Partner,697,249
2027,60561,Full Season,697,7
2027,60608,Full Season,697,8
2027,60640,Full Season,697,6
2025,60441,Full Season,692,7
2025,60014,Full Season,692,7
2025,60647,Half Season,690,14
2025,60565,Full Season,681,8
2026,60467,Full Season,678,6
2025,60126,Half Season,670,14
2026,60048,Full Season,668,5
2026,60124,Full Season,667,6
2026,60502,Full Season,662,5
2026,60611,Half Season,661,12
2027,60657,Half Season,660,16
2026,60543,Full Season,658,5
2026,60304,Full Season,656,7
2027,60304,Full Season,656,6
2027,60155,Full Season,656,4
2026,60155,Full Season,656,4
2027,60428,Full Season,656,4
2027,60060,Full Season,656,5
2027,60586,Full Season,656,6
2027,60641,Full Season,656,8
2027,60077,Full Season,656,7
2025,46373,Full Season,645,6
2026,60451,Half Season,644,13
2025,60068,Half Season,643,13
2025,46385,Full Season,642,5
2025,60632,Full Season,642,5
2025,60540,Half Season,641,14
2025,60514,Full Season,640,6
2027,60611,Half Season,640,12
2026,60657,Pick Em Plan,637,38
2025,60554,Full Season,632,5
2026,60607,Group,629,81
2025,60155,Full Season,626,4
2025,60561,Full Season,626,6
2026,60525,Single Game,625,133
2026,60610,Single Game,623,221
2025,60010,Half Season,623,11
2025,60613,Half Season,622,13
2026,60026,Full Season,616,4
2027,60643,Full Season,615,5
2026,60164,Full Season,615,4
2027,60131,Full Season,615,6
2027,60026,Full Season,615,4
2027,60164,Full Season,615,4
2026,60641,Full Season,615,8
2027,60649,Full Season,615,4
2026,60631,Group,610,56
2026,60174,Full Season,608,6
2025,60543,Full Season,607,5
2025,60002,Full Season,600,4
2026,60031,Full Season,599,5
2026,60657,Distribution Partner,598,243
2025,60093,Half Season,594,12
2026,60611,Single Game,593,193
2026,60025,Half Season,591,10
2025,60614,Distribution Partner,591,203
2026,60126,Half Season,589,11
2026,60428,Full Season,589,3
2026,60607,Single Game,587,188
2026,60586,Full Season,585,5
2026,60610,Group,584,76
2027,60451,Half Season,580,12
2026,60431,Full Season,579,5
2026,60077,Full Season,578,6
2026,60435,Full Season,577,5
2026,60565,Full Season,576,7
2027,60084,Full Season,574,4
2027,60467,Full Season,574,5
2027,60418,Full Season,574,4
2026,60639,Full Season,574,5
2027,60031,Full Season,574,5
2027,60805,Full Season,574,5
2026,60643,Full Season,574,5
2027,60431,Full Season,574,4
2025,60428,Full Season,572,3
2025,60631,Group,571,69
2025,60012,Full Season,568,4
2025,60143,Full Season,566,5
2025,60404,Full Season,566,5
2026,60805,Full Season,566,5
2025,60502,Full Season,564,4
2025,60642,Half Season,564,11
2025,60654,Half Season,563,11
2025,60435,Full Season,562,5
2025,60077,Full Season,560,6
2025,60624,Full Season,560,4
2025,60644,Full Season,560,5
2026,60451,Single Game,559,147
2026,60654,Group,558,48
2026,60608,Full Season,545,6
2026,60655,Full Season,545,6
2027,60607,Half Season,540,13
2025,60659,Half Season,540,8
2026,60131,Full Season,537,5
2026,60901,Full Season,534,4
2027,60901,Full Season,533,4
2027,60655,Full Season,533,6
2027,60623,Full Season,533,4
2027,60517,Full Season,533,6
2027,60202,Full Season,533,5
2027,46319,Full Season,533,2
2025,60451,Half Season,532,11
2025,60901,Full Season,526,4
2026,60181,Half Season,526,7
2026,60175,Full Season,524,6
2027,60093,Half Season,520,8
2025,60526,Full Season,520,4
2025,60623,Full Season,520,4
2027,60067,Half Season,520,11
2025,60131,Full Season,520,5
2027,60025,Half Season,520,10
2027,60181,Half Season,520,7
2025,60606,Group,515,28
2026,60601,Half Season,514,9
2026,60452,Full Season,514,4
2026,60610,Half Season,513,11
2026,11598,Full Season,512,3
2025,60622,Group,511,86
2025,60655,Half Season,509,12
2025,60611,Half Season,507,11
2026,60625,Single Game,505,157
2025,60614,Single Game,503,146
2027,60659,Half Season,500,7
2026,60126,Group,500,44
2025,60044,Full Season,500,4
2026,60659,Half Season,500,7
2027,60610,Half Season,500,11
2025,60446,Full Season,498,4
2026,60554,Full Season,498,4
2026,60605,Half Season,497,11
2025,60607,Group,497,97
2025,60625,Half Season,497,9
2026,60191,Full Season,496,4
2026,60546,Full Season,496,4
2026,60655,Group,496,61
2025,60139,Full Season,495,5
2027,60185,Full Season,492,3
2027,60617,Full Season,492,4
2027,60543,Full Season,492,4
2026,60418,Full Season,492,4
2027,11598,Full Season,492,3
2027,05478,Full Season,492,3
2026,05478,Full Season,492,3
2026,60084,Full Season,492,3
2027,60124,Full Season,492,5
2027,60452,Full Season,492,4
2027,60714,Full Season,492,3
2027,60628,Full Season,492,4
2027,60190,Full Season,492,4
2027,60554,Full Season,492,4
2027,60143,Full Season,492,4
2027,46385,Full Season,492,4
2027,60192,Full Season,492,5
2027,60624,Full Season,492,3
2026,60624,Full Season,492,3
2026,60628,Full Season,492,4
2027,60191,Full Season,492,4
2027,60123,Full Season,492,4
2026,60123,Full Season,492,4
2027,60177,Full Season,492,4
2026,60644,Full Season,492,4
2027,60644,Full Season,492,4
2027,60546,Full Season,492,4
2027,60544,Full Season,492,5
2026,60188,Full Season,492,6
2026,60004,Single Game,490,143
2026,60613,Half Season,490,10
2025,60423,Half Season,489,10
2025,60004,Group,489,49
2025,60601,Half Season,488,9
2026,60640,Single Game,487,160
2025,60172,Full Season,486,5
2025,60605,Half Season,483,11
2026,60544,Full Season,482,5
2025,60191,Full Season,482,4
2025,60188,Full Season,481,5
2025,60102,Full Season,480,5
2025,60123,Full Season,480,4
2025,60629,Full Season,480,4
2025,60164,Full Season,480,3
2025,05478,Full Season,480,3
2025,60056,Half Season,480,10
2027,60068,Half Season,480,11
2025,60619,Full Season,480,3
2025,60418,Full Season,480,3
2025,60544,Full Season,480,5
2026,60463,Full Season,480,4
2026,60614,Pick Em Plan,479,28
2025,60647,Group,478,74
2026,60047,Single Game,477,142
2025,60652,Full Season,476,3
2026,60471,Single Game,474,5
2026,60706,Full Season,471,5
2026,60137,Single Game,466,142
2026,60487,Full Season,462,5
2025,60062,Half Season,461,9
2025,60657,Distribution Partner,461,178
2025,60610,Group,461,67
2026,60093,Half Season,460,7
2027,60045,Half Season,460,8
2026,60148,Single Game,458,151
2025,60439,Half Season,457,10
2026,60565,Single Game,455,142
2026,60025,Single Game,455,130
2026,60203,Full Season,455,3
2026,60513,Full Season,455,3
2026,60106,Full Season,453,4
2026,60540,Single Game,453,138
2026,61108,Full Season,451,3
2026,60002,Full Season,451,3
2027,61108,Full Season,451,3
2027,60441,Full Season,451,4
2027,60487,Full Season,451,5
2026,60025-7634,Full Season,451,1
2026,60441,Full Season,451,4
2027,60025-7634,Full Season,451,1
2027,60513,Full Season,451,3
2027,60106,Full Season,451,4
2025,60525,Half Season,450,8
2026,60091,Group,449,38
2026,60640,Group,449,61
2025,60137,Half Season,449,10
2026,60654,Single Game,447,167
2025,60657,Pick Em Plan,446,30
2025,60513,Full Season,446,3
2025,60610,Half Season,444,10
2025,60302,Half Season,444,9
2026,60044,Full Season,442,3
2025,60565,Half Season,441,8
2026,60622,Half Season,441,10
2025,10001,Single Game,441,1
2026,60022,Group,440,14
2025,61108,Full Season,440,3
2026,60172,Full Season,440,5
2025,60431,Half Season,440,6
2026,60514,Group,440,15
2025,60025-7634,Full Season,440,1
2026,60462,Single Game,440,134
2026,60605,Single Game,439,140
2025,60190,Full Season,438,4
2026,60647,Distribution Partner,437,165
2026,60068,Single Game,437,141
2026,60655,Half Season,436,10
2026,60586,Single Game,436,120
2025,60611,Group,436,65
2026,60540,Half Season,434,9
2025,60654,Group,432,43
2025,60014,Group,432,40
2026,60655,Single Game,430,143
2025,60622,Half Season,430,10
2026,46307,Single Game,430,136
2026,60565,Half Season,430,8
2025,60045,Half Season,430,8
2026,10001,Single Game,427,5
2026,60453,Single Game,426,138
2026,60402,Full Season,421,3
2026,60642,Group,421,45
2027,60601,Half Season,420,7
2027,60642,Half Season,420,9
2026,60139,Full Season,419,4
2026,60404,Full Season,417,4
2026,60634,Single Game,417,134
2026,46321,Full Season,416,3
2025,60126,Group,416,78
2026,60423,Half Season,414,9
2025,60546,Full Season,414,3
2025,60187,Full Season,413,5
2026,60714,Full Season,413,2
2026,46373,Full Season,413,4
2026,60302,Single Game,412,142
2026,60459,Full Season,412,3
2026,60014,Group,412,25
2025,60091,Group,412,56
2025,60586,Half Season,412,8
2025,60451,Group,412,37
2025,60560,Full Season,411,3
2025,60638,Half Season,411,9
2026,60173-5408,Full Season,410,1
2026,46385,Full Season,410,3
2027,60108,Full Season,410,3
2027,60102,Full Season,410,5
2025,60030,Full Season,410,5
2027,60189,Full Season,410,4
2027,77055,Full Season,410,2
2027,60526,Full Season,410,3
2027,60706,Full Season,410,4
2027,53147,Full Season,410,4
2027,802212841,Full Season,410,2
2027,46321,Full Season,410,3
2026,77055,Full Season,410,2
2026,60438,Full Season,410,3
2027,46360,Full Season,410,3
2027,60044,Full Season,410,3
2027,60510,Full Season,410,3
2027,60402,Full Season,410,3
2027,60175,Full Season,410,5
2027,60172,Full Season,410,4
2026,60632,Full Season,410,3
2027,60139,Full Season,410,4
2026,53147,Full Season,410,4
2026,802212841,Full Season,410,2
2027,60632,Full Season,410,3
2027,60438,Full Season,410,3
2027,60173-5408,Full Season,410,1
2027,60559,Full Season,410,4
2026,60012,Full Season,410,3
2027,60502,Full Season,410,3
2027,43017-8605,Full Season,408,1
2026,60091,Half Season,408,8
2026,43017-8605,Full Season,408,1
2025,60463,Full Season,407,4
2026,60068,Half Season,406,8
2025,60452,Full Season,406,4
2026,60625,Group,405,50
2025,46321,Full Season,404,3
2025,60604,Full Season,404,4
2026,60642,Single Game,404,119
2025,60093,Group,404,56
2025,60605,Group,404,62
2025,60194,Full Season,403,3
2025,85281,Group,402,2
2026,60192,Full Season,402,4
2026,60103,Single Game,402,127
2026,60439,Half Season,402,8
2025,53147,Full Season,400,4
2025,60653,Full Season,400,3
2027,60565,Half Season,400,8
2025,60521,Half Season,400,7
2027,60517,Half Season,400,8
2025,60805,Full Season,400,4
2027,60605,Half Season,400,10
2027,60302,Half Season,400,8
2027,60423,Half Season,400,9
2025,60706,Full Season,400,4
2025,77055,Full Season,400,2
2025,60103,Full Season,400,4
2025,43017-8605,Full Season,400,1
2027,60515,Half Season,400,7
2027,60613,Half Season,400,8
2026,60190,Full Season,400,3
2027,60148,Half Season,400,8
2027,60625,Half Season,400,7
2027,60622,Half Season,400,9
2025,60649,Full Season,400,3
2025,60090,Full Season,400,4
2025,802212841,Full Season,400,2
2027,60540,Half Season,400,9
2026,60625,Half Season,399,7
2025,60448,Group,399,24
2026,60605,Group,396,45
2025,60618,Pick Em Plan,395,18
2026,60613,Distribution Partner,395,141
2026,60543,Single Game,395,115
2026,60611,Group,394,63
2025,60004,Half Season,392,9
2026,60093,Single Game,391,102
2025,60656,Group,390,36
2026,60610,Pick Em Plan,389,21
2026,60045,Half Season,389,7
2026,60453,Group,388,39
2025,60637,Group,387,24
2026,60302,Half Season,386,7
2026,60062,Group,385,42
2026,60010,Single Game,384,124
2026,60007,Single Game,384,106
2026,60617,Full Season,383,4
2025,60201,Group,382,79
2026,60607,Distribution Partner,382,130
2026,60093,Group,381,31
2025,60022,Half Season,380,7
2026,60631,Single Game,380,107
2026,60515,Single Game,380,120
2026,60174,Single Game,378,109
2026,60564,Single Game,376,120
2026,60056,Single Game,376,116
2026,60177,Full Season,375,3
2026,60013,Group,375,28
2026,60642,Half Season,374,8
2026,60103,Group,374,31
2026,60441,Single Game,373,119
2026,60193,Single Game,373,105
2026,60067,Half Season,373,7
2026,60517,Half Season,371,7
2025,46322,Half Season,370,6
2025,60617,Full Season,370,3
2027,46373,Full Season,369,4
2026,60649,Full Season,369,3
2027,60560,Full Season,369,4
2027,60426,Full Season,369,3
2027,60085,Full Season,368,2
2025,60423,Group,367,40
2026,60137,Half Season,366,8
2025,60418,Group,364,9
2025,60189,Half Season,363,7
2025,60622,Pick Em Plan,362,18
2025,60035,Half Season,362,7
2025,60453,Half Season,360,6
2025,60402,Full Season,360,4
2025,60651,Full Season,360,3
2027,60638,Half Season,360,9
2027,60130,Half Season,360,7
2025,60506,Full Season,360,3
2026,60035,Half Season,360,7
2025,60559,Full Season,360,4
2026,60618,Distribution Partner,359,122
2026,60478,Full Season,358,3
2026,60638,Single Game,358,117
2026,46307,Group,358,29
2025,60608,Group,356,65
2026,60189,Single Game,356,111
2026,60559,Full Season,356,4
2026,60091,Single Game,356,107
2026,60062,Single Game,355,113
2025,60641,Half Season,354,7
2026,60630,Single Game,354,105
2026,46614,Full Season,352,2
2026,60517,Group,352,26
2026,60612,Single Game,351,71
2025,60134,Half Season,349,8
2026,60601,Group,349,38
2026,60601,Single Game,349,117
2026,60654,Half Season,348,8
2025,60601,Group,347,39
2025,60478,Full Season,346,3
2025,60091,Half Season,346,9
